8.870598,1.523079,0.300000,73.286275,86.337255,70.274510,573.250000,648.640000,56.020000,42051.000000,1.000000,0.840247,0.159095,0.000658,0.000150,-0.003685,0.000000,-0.003685,0.013675,-0.003685,29.000000,-0.003685
9.008501,1.844923,0.330000,73.286275,86.337255,70.274510,573.240000,648.990000,56.050000,43209.000000,1.000000,0.840782,0.158552,0.000666,0.000131,-0.003685,0.000000,-0.003685,0.013675,-0.003685,30.000000,0.000000
8.836481,2.354245,0.300000,87.341176,95.372549,84.329412,572.870000,649.380000,56.020000,40216.000000,1.000000,0.866711,0.132641,0.000648,0.000139,-0.003685,0.000000,-0.003685,0.013675,-0.003685,29.000000,-0.003685
9.142203,2.157690,0.340000,43.168627,54.211765,53.207843,573.230000,649.330000,56.060000,39561.000000,1.000000,0.855851,0.143476,0.000673,0.000112,-0.003685,0.000000,-0.003685,0.013675,-0.003685,30.000000,0.000000
8.979259,2.662813,0.330000,45.176471,51.200000,52.203922,572.870000,649.720000,56.050000,42532.000000,1.000000,0.871953,0.127399,0.000648,0.000123,-0.003685,0.000000,-0.003685,0.013675,-0.003685,29.000000,-0.003685
8.841234,2.936033,0.330000,86.337255,89.349020,83.325490,572.630000,649.910000,56.050000,42270.000000,1.000000,0.885355,0.114010,0.000635,0.000123,-0.003685,0.000000,-0.003685,0.013675,-0.003685,29.000000,-0.003685
9.104563,2.957430,0.330000,45.176471,51.200000,52.203922,572.860000,650.040000,56.050000,41680.000000,1.000000,0.873883,0.125470,0.000648,0.000101,-0.003685,0.000000,-0.003685,0.013675,-0.003685,30.000000,0.000000
9.414485,2.769950,0.420000,45.176471,51.200000,52.203922,573.220000,650.000000,56.140000,41024.000000,1.000000,0.868460,0.130866,0.000674,0.000082,-0.003685,0.000000,-0.003685,0.013675,-0.003685,31.000000,0.000000
8.934174,3.708407,0.330000,68.266667,76.298039,67.262745,572.390000,650.650000,56.050000,42881.000000,1.000000,0.897600,0.101829,0.000571,0.000094,-0.003685,0.000000,-0.003685,0.000000,-0.003685,58.000000,-0.003685
9.072753,4.007900,0.300000,68.266667,76.298039,67.262745,572.390000,650.980000,56.020000,42160.000000,1.000000,0.894527,0.104912,0.000561,0.000084,-0.003685,0.000000,-0.003685,0.000000,-0.003685,60.000000,0.000000
8.988212,3.253677,0.320000,54.211765,58.227451,57.223529,572.630000,650.260000,56.040000,43034.000000,1.000000,0.891914,0.107491,0.000595,0.000097,-0.003685,0.000000,-0.003685,0.000000,-0.003685,58.000000,-0.003685
9.250864,3.297424,0.380000,54.211765,58.227451,57.223529,572.850000,650.410000,56.100000,40719.000000,1.000000,0.886399,0.112994,0.000607,0.000079,-0.003685,0.000000,-0.003685,0.000000,-0.003685,60.000000,0.000000
9.552387,3.091794,0.440000,43.168627,52.203922,53.207843,573.210000,650.350000,56.160000,41811.000000,1.000000,0.878256,0.121076,0.000668,0.000070,-0.003685,0.000000,-0.003685,0.000000,-0.003685,62.000000,0.000000
9.126114,3.575520,0.400000,68.266667,76.298039,67.262745,572.620000,650.610000,56.120000,43012.000000,1.000000,0.901020,0.098391,0.000590,0.000081,-0.003685,0.000000,-0.003685,0.000000,-0.003685,60.000000,0.000000
9.392966,3.628343,0.420000,115.450980,137.537255,130.509804,572.840000,650.770000,56.140000,42597.000000,1.000000,0.896295,0.103108,0.000596,0.000066,-0.003685,0.000000,-0.003685,0.000000,-0.003685,62.000000,0.000000
9.247219,3.861061,0.400000,68.266667,76.298039,67.262745,572.610000,650.920000,56.120000,39583.000000,1.000000,0.903607,0.095811,0.000581,0.000070,-0.003685,0.000000,-0.003685,0.000000,-0.003685,60.000000,0.000000
9.686090,3.404561,0.440000,48.188235,63.247059,58.227451,573.200000,650.690000,56.160000,44804.000000,1.000000,0.887316,0.112068,0.000616,0.000054,-0.003685,0.000000,-0.003685,0.000000,-0.003685,64.000000,0.000000
9.811394,3.699178,0.430000,55.215686,69.270588,58.227451,573.190000,651.010000,56.150000,43165.000000,1.000000,0.894690,0.104707,0.000603,0.000045,-0.003685,0.000000,-0.003685,0.000000,-0.003685,64.000000,0.000000
8.884244,6.243759,0.280000,77.301961,80.313725,65.254902,571.280000,652.930000,56.000000,39386.000000,1.000000,0.984494,0.014991,0.000515,0.000060,-0.003685,0.000000,-0.003685,0.000000,-0.003685,116.000000,-0.003685
9.011809,4.542957,0.290000,106.415686,112.439216,94.368627,572.110000,651.440000,56.010000,42204.000000,1.000000,0.927773,0.071676,0.000550,0.000079,-0.003685,0.000000,-0.003685,0.000000,-0.003685,90.000000,0.000000
8.878106,4.230189,0.300000,106.415686,112.439216,94.368627,572.120000,651.100000,56.020000,40041.000000,1.000000,0.920697,0.078751,0.000552,0.000092,-0.003685,0.000000,-0.003685,0.000000,-0.003685,58.000000,-0.003685
9.193858,4.293441,0.350000,63.247059,72.282353,58.227451,572.380000,651.290000,56.070000,40740.000000,1.000000,0.906338,0.093109,0.000554,0.000072,-0.003685,0.000000,-0.003685,0.000000,-0.003685,60.000000,0.000000
